month,LogReg_v92,ElasticNet_v92,MLP_v92,Ensemble_v92
1990-01-01,,,,
1990-02-01,,,,
1990-03-01,,,,
1990-04-01,,,,
1990-05-01,,,,
1990-06-01,,,,
1990-07-01,,,,
1990-08-01,,,,
1990-09-01,,,,
1990-10-01,,,,
1990-11-01,,,,
1990-12-01,,,,
1991-01-01,,,,
1991-02-01,,,,
1991-03-01,,,,
1991-04-01,,,,
1991-05-01,,,,
1991-06-01,,,,
1991-07-01,,,,
1991-08-01,,,,
1991-09-01,,,,
1991-10-01,,,,
1991-11-01,,,,
1991-12-01,,,,
1992-01-01,,,,
1992-02-01,1.6506388254939048,2.9445759121336934,3.9355511415307403,2.8435886263861128
1992-03-01,0.411409348886851,-0.7656503471974706,-1.8313118208115389,-0.7285176063740528
1992-04-01,2.0469751513984265,2.869152054710504,4.018603108176159,2.97824343809503
1992-05-01,0.9236443179870099,0.8480332016530081,2.8217512826989757,1.5311429341129978
1992-06-01,0.7234412877025449,0.6551346917983252,1.6189630076180073,0.9991796623729591
1992-07-01,2.4030025588092676,4.595119850134589,4.595119850134589,3.864414086359482
1992-08-01,-0.07578724358115736,-1.450248937662506,-1.4588642209824347,-0.9949668007420328
1992-09-01,-0.11425037452481858,-0.6422191614763049,-1.5231083709335085,-0.759859302311544
1992-10-01,1.8046457796758497,4.426146040800679,3.4878559421764064,3.239549254217645
1992-11-01,2.6788628425416796,4.595119850134589,4.595119850134589,3.9563675142702857
1992-12-01,1.2382025297176695,1.980826111391465,2.435406898815243,1.8848118466414592
1993-01-01,1.1355519975450874,2.009998249714608,2.7882306933035848,1.9779269801877601
1993-02-01,1.4780889126286034,3.741247731214264,4.0487916906482795,3.089376111497049
1993-03-01,0.5549859994026648,0.4883488415224925,-1.0658302880830708,-0.0074984823859711724
1993-04-01,-0.5736656252750472,-2.1106577308008285,-2.440813491335205,-1.7083789491370267
1993-05-01,1.7158282554657267,4.595119850134589,4.595119850134589,3.6353559852449684
1993-06-01,1.001695264023589,2.731902927378356,2.659269667295539,2.130955952899161
1993-07-01,0.8130909779292274,1.8824529374980095,2.3076748118317134,1.6677395757529834
1993-08-01,2.4810272744723307,4.595119850134589,4.595119850134589,3.890422324913836
1993-09-01,-0.34562404280763015,0.2056498320432232,2.045313253166811,0.6351130141341347
1993-10-01,1.4526137811415971,1.7834655694198152,3.529029012977934,2.255036121179782
1993-11-01,-0.06283911026224769,0.1445554305919999,-1.9515262336701207,-0.6232699711134562
1993-12-01,1.1526615317454822,1.8572324359337067,2.4119066242954963,1.807266863991562
1994-01-01,2.1671223440421943,4.418475626750917,4.595119850134589,3.7269059403092335
1994-02-01,-1.4070407109765728,-2.70968101634626,-4.17500400145472,-2.7639085762591846
1994-03-01,-2.368891211162578,-4.59511985013459,-4.59511985013459,-3.8530436371439194
1994-04-01,1.0354048362691595,2.9396975898587514,3.667249281220638,2.547450569116183
1994-05-01,1.7669630170208357,4.595119850134589,4.595119850134589,3.6524009057633378
1994-06-01,-1.9901866303496198,-4.59511985013459,-4.59511985013459,-3.7268087768729337
1994-07-01,2.1612139102494337,4.227591183418201,4.595119850134589,3.6613083146007415
1994-08-01,2.245198593448927,4.595119850134589,4.595119850134589,3.811812764572702
1994-09-01,-1.5996484409817855,-3.121044437795911,-3.2169712117526634,-2.6458880301767866
1994-10-01,2.233561851913743,3.8727202114715027,4.595119850134589,3.5671339711732784
1994-11-01,-1.4888061100251642,-4.408958202016036,-4.006859256717984,-3.301541189586395
1994-12-01,1.071387278302585,1.5392849355049234,2.296246521294001,1.6356395783671698
1995-01-01,1.9262332521553722,3.001703744469263,4.595119850134589,3.174352282253075
1995-02-01,1.7366372123925247,3.0591431036926466,4.15611672986112,2.983965681982097
1995-03-01,1.7144401968219283,2.968428453636642,4.287856654653171,2.9902417683705806
1995-04-01,2.3919302777928886,4.595119850134589,4.595119850134589,3.8607233260206884
1995-05-01,2.2877540758264203,3.700046018802996,4.595119850134589,3.5276399815880013
1995-06-01,2.039608895723998,3.777776397389599,4.595119850134589,3.470835047749395
1995-07-01,2.262812525295559,4.595119850134589,3.8942722026726497,3.5840681927009324
1995-08-01,1.6071433574521865,3.1911776185477776,2.677900725087586,2.4920739003625165
1995-09-01,1.5268682857145246,3.0009244702527185,4.595119850134589,3.0409708687006103
1995-10-01,1.3293197724150825,1.313380225814288,3.1522854400589457,1.931661812762772
1995-11-01,3.1553514324744603,4.595119850134589,4.595119850134589,4.115197044247879
1995-12-01,2.21418216393727,4.015631025666674,4.2485287957539555,3.4927806617859667
1996-01-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1996-02-01,0.8053432169738698,0.18765776501171075,-1.0473282760777112,-0.01810909803071022
1996-03-01,1.382586044694717,2.0056811938966614,4.0910758639759415,2.49311436752244
1996-04-01,3.154205005842739,4.595119850134589,4.595119850134589,4.114814902037305
1996-05-01,2.845632154003112,4.595119850134589,4.595119850134589,4.01195728475743
1996-06-01,2.191398103328133,4.595119850134589,4.595119850134589,3.7938792678657705
1996-07-01,1.1974733096043877,3.7132385453085903,3.921022699233887,2.943911518048955
1996-08-01,1.0054889656750279,-0.23317873575851808,-0.9847249768314209,-0.07080491563830371
1996-09-01,2.632006183254217,4.595119850134589,4.595119850134589,3.9407486278411317
1996-10-01,2.513243827575153,3.7946276115671096,4.595119850134589,3.6343304297589505
1996-11-01,3.9666440719948244,4.595119850134589,4.595119850134589,4.385627924088001
1996-12-01,1.7431441522571265,4.278444242444122,4.595119850134589,3.5389027482786126
1997-01-01,2.9278653267722534,4.595119850134589,4.595119850134589,4.039368342347143
1997-02-01,0.10095112021545187,-1.7785709189036913,-1.3726089742591698,-1.016742924315803
1997-03-01,-2.3654344806221577,-4.59511985013459,-4.59511985013459,-3.8518913936304457
1997-04-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1997-05-01,2.9538301602872745,4.595119850134589,4.595119850134589,4.048023286852151
1997-06-01,1.906728128819054,2.4041716980029566,3.6265386205438994,2.6458128157886365
1997-07-01,3.349549072871094,4.595119850134589,4.595119850134589,4.179929591046757
1997-08-01,-0.7941289135346682,-2.5776346450357157,-2.977468012225624,-2.116410523598669
1997-09-01,3.217108558567517,4.595119850134589,4.595119850134589,4.135782752945565
1997-10-01,-1.9213990938599874,-4.59511985013459,-4.541682663062422,-3.686067202352333
1997-11-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1997-12-01,3.093579700927814,4.595119850134589,4.595119850134589,4.094606467065664
1998-01-01,2.8654150994918854,4.595119850134589,4.595119850134589,4.018551599920355
1998-02-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1998-03-01,3.256418286925271,4.595119850134589,4.595119850134589,4.148885995731483
1998-04-01,1.3240372928856705,1.3281281594643255,1.8768888382998166,1.5096847635499373
1998-05-01,0.5529748642743806,-0.5854533304416093,-0.2981948072300922,-0.11022442446577363
1998-06-01,3.9476980304397435,4.595119850134589,4.595119850134589,4.379312576902974
1998-07-01,-1.6373293996867497,-4.59511985013459,-3.648526172853933,-3.2936584742250905
1998-08-01,-4.59511985013459,-4.59511985013459,-4.59511985013459,-4.59511985013459
1998-09-01,2.759266828552008,3.8567886402822267,-0.5527636143131696,2.021097284840355
1998-10-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1998-11-01,3.2471013494541863,4.595119850134589,4.595119850134589,4.145780349907788
1998-12-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1999-01-01,3.3466500458235897,4.595119850134589,4.595119850134589,4.178963248697589
1999-02-01,0.2670273799127848,0.08469369001233885,1.753008632399326,0.7015765674414832
1999-03-01,1.1908351606277767,0.40745506889614685,2.2714936632080986,1.2899279642440076
1999-04-01,2.9320736402759984,4.595119850134589,4.595119850134589,4.040771113515059
1999-05-01,0.014743899543436767,-1.1444317957685208,-2.7079060146414027,-1.279197970288829
1999-06-01,4.113172483349675,4.595119850134589,4.595119850134589,4.4344707278729505
1999-07-01,-2.6267521431192593,-4.59511985013459,-4.59511985013459,-3.9389972811294798
1999-08-01,1.4305085814446203,1.6679389255694224,1.9244969199274617,1.6743148089805013
1999-09-01,-1.6139343104654353,-4.59511985013459,-3.117074944085801,-3.108709701561942
1999-10-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1999-11-01,0.8061346478396841,0.0370889894274549,2.6988314852207003,1.1806850408292797
1999-12-01,4.091935883617729,4.595119850134589,4.595119850134589,4.427391861295635
2000-01-01,-1.4477177329089836,-4.59511985013459,-3.9469549407228053,-3.3299308412554596
2000-02-01,0.1562285636889467,-1.1728957019042816,-1.722580307748018,-0.9130824819877844
2000-03-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2000-04-01,1.1895237705680533,3.939333088317447,3.1507539643770577,2.759870274420853
2000-05-01,0.8558400093980016,0.35989262954946527,2.7705461468630572,1.3287595952701747
2000-06-01,1.6467755152586987,1.3743465636516063,1.1119606387186862,1.3776942392096636
2000-07-01,-0.027953488487246853,-2.9991951438611224,-2.46029354122862,-1.8291473911923297
2000-08-01,3.4630870874590016,4.595119850134589,4.595119850134589,4.217775595909393
2000-09-01,-1.8588529929882487,-4.264465539134482,-2.066840467698218,-2.730052999940316
2000-10-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2000-11-01,-2.633305599008639,-4.59511985013459,-4.59511985013459,-3.9411817664259394
2000-12-01,0.5788902983760259,0.35977958808315436,-0.5200369509519345,0.13954431183574859
2001-01-01,2.180337296826619,3.9255107577802204,4.595119850134589,3.566989301580476
2001-02-01,-3.7577557924880876,-4.59511985013459,-4.59511985013459,-4.315998497585756
2001-03-01,1.025327906318064,2.1752837541911396,3.2848034622106783,2.161805040906627
2001-04-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2001-05-01,1.6155380666482633,1.8965671436725318,3.7028677029327515,2.4049909710845156
2001-06-01,0.9183971282102742,1.2008280145766377,3.8119142296433166,1.977046457476743
2001-07-01,1.5514137225537101,2.049786658504144,3.19595246477999,2.2657176152792817
2001-08-01,-1.5079401813506155,-4.59511985013459,-3.2492225385339917,-3.117427523339732
2001-09-01,-0.8842360855027089,-0.5260324403756439,3.572787293778555,0.7208395893000675
2001-10-01,-0.30120408448691616,-4.58560670144551,-2.5137428768909693,-2.4668512209411317
2001-11-01,2.419411561385915,4.595119850134589,4.595119850134589,3.8698837538850306
2001-12-01,0.5544242691077338,0.6089246252879067,3.099645639466863,1.4209981779541678
2002-01-01,0.018604213900866893,-1.942765011995256,-0.21152249238026097,-0.7118944301582166
2002-02-01,0.614775413256471,1.294990799804259,2.934418999697175,1.614728404252635
2002-03-01,0.6428512121928432,-0.25005415635730466,0.17956908279054218,0.19078871287536026
2002-04-01,-2.136306260728944,-4.59511985013459,-4.59511985013459,-3.7755153203327083
2002-05-01,0.08781922907682618,-1.5569311918361086,-1.3763538124786392,-0.9484885917459739
2002-06-01,-3.1011055804137295,-4.59511985013459,-4.59511985013459,-4.097115093560969
2002-07-01,-1.00096573492492,-1.0729413643188455,-1.9972029780477512,-1.3570366924305055
2002-08-01,0.4503559271720039,-0.8024119992550927,-1.5170176320843283,-0.6230245680558056
2002-09-01,-4.59511985013459,-4.59511985013459,-4.59511985013459,-4.59511985013459
2002-10-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2002-11-01,3.449925047903606,4.595119850134589,4.595119850134589,4.2133882493909285
2002-12-01,-1.209908352819518,-3.6944444693835976,-3.617127148820485,-2.8404933236745333
2003-01-01,-2.1729085336636356,-4.59511985013459,-4.59511985013459,-3.787716077977605
2003-02-01,1.1067883561168257,2.577404791902595,3.4141202887042237,2.366104478907882
2003-03-01,0.7448616029221241,0.9985970951591718,2.1235699958692025,1.289009564650166
2003-04-01,3.5702727742062974,4.595119850134589,4.595119850134589,4.253504158158491
2003-05-01,2.155917545221476,3.4156791635329538,4.595119850134589,3.3889055196296725
2003-06-01,-1.8545756607804489,-4.59511985013459,-3.7480191647438863,-3.399238225219642
2003-07-01,-0.05953365382619826,-0.636712824597718,-1.80548784788079,-0.8339114421015688
2003-08-01,0.5417980357136641,1.3742597914263701,0.3799485171028551,0.765335448080963
2003-09-01,-2.2207997230111047,-4.59511985013459,-4.098572323075206,-3.638163965406967
2003-10-01,1.5146537438912022,1.7143825307430745,3.849771718828206,2.3596026644874946
2003-11-01,1.7713657022046558,4.595119850134589,4.5789812440418025,3.648488932127016
2003-12-01,3.626411409029879,4.595119850134589,4.595119850134589,4.272217036433019
2004-01-01,0.16091658908178608,-0.5698387175356443,0.9208049265238921,0.17062759935667796
2004-02-01,0.8136556832524471,1.1665188724933915,0.9518237457435189,0.9773327671631192
2004-03-01,1.2896340412083704,3.712571655890077,4.21234250276575,3.071516066621399
2004-04-01,-1.0083685349537013,-3.5116806395380005,-3.402954370263773,-2.641001181585158
2004-05-01,2.3440596571673766,4.595119850134589,4.595119850134589,3.844766452478851
2004-06-01,1.5907849440381807,3.4854212089566396,4.02068034544772,3.032295499480847
2004-07-01,-0.37741004673981354,-0.5878046413914988,-2.0790745840378877,-1.0147630907230667
2004-08-01,1.7691537247439766,4.595119850134589,4.112637935145584,3.4923038366747163
2004-09-01,-1.059541783093451,-2.251491691543447,-2.5027201236349303,-1.9379178660906096
2004-10-01,1.8156476404144928,4.295168618579974,4.304777635879384,3.471864631624617
2004-11-01,0.5916099040805479,0.707400463021452,2.483962730304261,1.2609910324687537
2004-12-01,1.6215273772646812,3.0864126923367583,3.2344263816466348,2.6474554837493582
2005-01-01,-0.16134701345239771,-0.6461595015527668,-2.3893993599397536,-1.065635291648306
2005-02-01,0.1521232318494038,-0.1901320503652089,1.640851120838303,0.5342807674408326
2005-03-01,-0.8973130049620422,-1.3396104797684572,-3.06149747439658,-1.7661403197090264
2005-04-01,-0.32094473820473324,-0.44277041984139603,-2.2737703082460112,-1.0124951554307133
2005-05-01,1.5519659831963344,3.7169929069201344,3.1618225385028675,2.810260476206446
2005-06-01,-0.15298505278431918,-1.0096056588271838,-2.2112590663690255,-1.124616592660176
2005-07-01,0.8208596341960448,1.9625352130126423,3.1946309098933474,1.992675252367345
2005-08-01,-0.245712134103877,-0.42819100286195216,-2.458849155290201,-1.0442507640853433
2005-09-01,-0.6216604034293377,-0.8548187244374938,-1.7817851492907941,-1.0860880923858753
2005-10-01,1.5445012831954816,4.49830581389152,4.080988301528368,3.374598466205123
2005-11-01,1.157001809310402,2.4116774568895525,3.7781202370181917,2.448933167739382
2005-12-01,-0.05026923035462312,-1.2697899700895707,-1.701189159525746,-1.0070827866566467
2006-01-01,1.0757468968206787,1.6164262028144047,0.7557280279431403,1.149300375859408
2006-02-01,0.21529091799204175,0.3895694302895813,1.1200039982585765,0.5749547821800666
2006-03-01,0.8837060424502079,1.2572495382925932,2.3203075113602383,1.4870876973676799
2006-04-01,0.7509754794546909,2.0986276405999575,2.145647458251544,1.6650835261020642
2006-05-01,-1.0051234754648897,-2.6277774761827914,-3.2822940056751024,-2.305064985774261
2006-06-01,2.4607487401469124,4.595119850134589,4.595119850134589,3.88366281347203
2006-07-01,1.9474481977241476,4.595119850134589,4.595119850134589,3.712562632664442
2006-08-01,1.5578436355709726,3.14852863464225,3.765751608186777,2.8240412928
2006-09-01,0.9665729071691485,3.1150766013625355,3.840405834208657,2.6406851142467804
2006-10-01,1.3487851903248411,1.656803685022804,3.2545866139397464,2.0867251630957973
2006-11-01,0.6451599377153341,0.2502518037425331,1.0035463239968454,0.6329860218182376
2006-12-01,0.6376633846815825,-0.05407198834974791,-1.1668448033620016,-0.194417802343389
2007-01-01,1.2473945203538592,1.894652310888697,1.7462390003371802,1.6294286105265787
2007-02-01,-1.443360013780773,-4.59511985013459,-4.59511985013459,-3.544533238016651
2007-03-01,2.393628527708499,4.595119850134589,4.595119850134589,3.861289409325892
2007-04-01,1.6516933996489802,3.088465874041596,4.595119850134589,3.111759707941722
2007-05-01,1.926217592380579,3.9977183050063365,4.595119850134589,3.506351915840501
2007-06-01,-0.12465540375290357,-1.2353238946415042,-2.198220023499806,-1.1860664406314045
2007-07-01,-2.4681158354110146,-4.59511985013459,-4.59511985013459,-3.886118511893398
2007-08-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2007-09-01,2.244228871714078,4.595119850134589,4.595119850134589,3.811489523994419
2007-10-01,2.023370785521971,3.7513613785653,2.8334877832879535,2.869406649125075
2007-11-01,1.1139264265661781,2.761774797951273,3.4939706398191257,2.4565572881121924
2007-12-01,0.7782613009042941,1.0186013935000306,0.6568917846553026,0.8179181596865425
2008-01-01,0.8478059538076402,3.682769249173838,3.4260741775940384,2.652216460191839
2008-02-01,0.14419803108471013,0.6492188647874436,0.20057802572052313,0.3313316405308923
2008-03-01,1.1439919148816569,2.585792685901059,2.8275075976907855,2.1857640661578337
2008-04-01,3.4277705661125255,4.595119850134589,4.595119850134589,4.206003422127234
2008-05-01,0.3373203225875375,0.14099817478915752,-2.247157760457307,-0.5896130876935373
2008-06-01,-3.768655646913387,-4.59511985013459,-4.59511985013459,-4.319631782394189
2008-07-01,1.0949545408311228,2.8159564626720766,3.43301698997972,2.4479759978276396
2008-08-01,0.3735296418644353,0.3818520222795357,-0.7710150893550238,-0.0052111417370176065
2008-09-01,-2.458238619230503,-4.191165621612023,-4.4864125218581705,-3.711938920900232
2008-10-01,-0.5220505501801749,1.4210855935851094,1.6782898847766434,0.8591083093938593
2008-11-01,-0.7047037317325154,0.364918660501025,-3.8050849290506057,-1.3816233334273653
